,Review
143,saya tidak menerima produk ini sama sekali dan uangnya sudah diambil kurir karena pemayaran saya cod
144,barangnya gk dkirim
145,tolong kembalikan uang saya saya beli udah saya bayar cod
146,barang tidak datang
147,untuk kedepannya mohon untuk memperhatikan jumlah stok produk ya
148,pengemasan sama pengiriman lama buanget minggu lebih baru nyampe
149,item nggak dikirim katanya suruh kirim video unboxing lha tapi dari list di paket yang mereka kirim saja jelas tidak tertera serum ini masa masih perlu video unboxing lagi saya beli banyak gamungkin lah saya mau nilep serum cuman satu harga  doang pula coba diitung stok di gudang sesuai nggak
150,barang tidak lengkap katanya bundling tapi kurang katanya akan dikirim lagi tapi dikembalikan dana tidak sesuai kecewa sekali jarang belanja kek gini
151,ga tau kualitasnya blom dicoba barang yang dipesan ga sampai penjual tidak cepat merespon komplain di pusat resolusi hanya jawab ya di chat
152,pelayanan dan pengiriman lama
153,pengirimannya lama baramg sampai rmh sy pas sy lg keluar kota stlah pulanh sy crk ternyata pesanan nya krg item sdngkan sdh lewat hari
154,proses pemesanan lamaaa bgt pengemasan begini doang udh gitu pesen malah cm dtg komplen  resolusi komplen malah   tanggep didiemin jd hrs nunggu hr untung full balik duit sm cb  lagi pesen disini sih walaupun os pdhl ini pengalaman pertama pesen disini tp lgsg enek sm sellernya
155,ordernya apa dikirimnya apa dicek yang teliti dong
156,botol kosong tidak ada isinya
157,pertama saya sangat kecewa sama toko ini diorder minggu gk kunjung diproses juga alhasil bulan baru sampek kecewa saya teramat kecewa
158,mohon maaf saya membeli  twin pack kenapa yang datang malah aja harusnya kan mana sudah kepencet selesai lagi gimana ya saya kecewa banget nih sama pihak azarinenya
159,botolnya pecah alhasil paketnya kotor lain kali packagingya diperbaiki
160,sedih banget awalnya cuman karena jerawat dibawah dagu terus nyoba karena viral kan azarine tuh skrg aku harus balik ke dr spkk lagi
161,kecewaaaa
162,udah shopping  official resmi tetap aja  tipu free giftnya ga di kasi penipuan ini tolong lah jangan buat kepercayaan hilang untuk belanja  official
163,penipuan padahal udah belanja  official free giftnya ga dikirimkan lain  klo ga ikhlas kasi promo begitu jangan lah buat promo free gift segala macam dasar penipu
164,barang yg diterima tidak sesuai kurang serum
165,botol spray nya jelek banget
166,minggu baru sampai
167,kosong
168,gk cocok
169,pelayanan penjual kurang responsif dan barang tidak lengkap
170,pelayanan penjual kurang responsif
171,harusnya kalo barang kosong tu ya ordernya ditolak dong jangan diaccept dan dikirim paket kosong dengan notes seperti ini gak semua orang stand by di rumah baru sempet buka paketnya setelah status paket selesai karena sedang di luar kota udah hubungin via chat lama banget gak dibales mau ajuin claim jg susah karena status paket sudah selesai otomatis gak kaya aplikasi sebelah yg bisa perpanjang masa garansi kalo paket belum sempet dibuka tolong perbaiki kualitas pengirimannya chat jg udah hari gak dibales walopun cuma rb tetep aja uang
172,produk ini tdk cocok utk sy jd bruntusan
173,pesan tgl sampe tgl admin janji dikirim tapi ga juga kalo memang stock ga ada bilang aja jadi ga ngarep terus
174,berkali beli baru kali ini pengemasan lama pengiriman lama kurir gajelas paketan ga di serah in ke custumer dan ga ngasih tau di beri ke siapa smpe sy bingung nungguin
175,respon penjual dan pengiriman sangat lambat butuh hari barang nyampek di rumah
176,konfirmasi order lama pengiriman product lama dan cs atau admin slow respon dan jawaban tidak nyambung
177,kaget sih begitu buka ga ada isinya cuma ada kertas aja
178,saya pesan pesanan tapi yg ini tidak dikirim di chat tidak ada respon
179,ini pertama kalinya saya tidak menerima barang pesanan saya secara lengkap sayangnya saya tidak melakukan video unboxing
180,beli tgl mei chat admin katanya tgl bisa dikirim tp sampai sudah mau batal otomatis baru dikirim sampe di rmh tgl malem pdhal mau dibawa ke luar kota tgl mei krn melihat status ga dikirim akhirnya beli sama reseller di jakarta kecewa baru pertama kali pesan di official store tp pelayanan buruk dan pengiriman lama barang yg dikirim sesuai hanya tdk ada box atau bubble wrap kalo yg butuh cepat tolong pertimbangkan utk beli di official store
181,udahlah prosesnya lama bgt yg dikirim gk lengkap juga bilang dong kalo brgnya kosong gk bisa kasih review krn saya gak terima barang ini
182,saya kira membeli dari toko official bisa dapat pengemasan lebih baik saya terima kondisi kotak kemasan prpduk terbuka dan saya tanya chat penjual tdk direspond dg cepat tidak ada isi yg tumpah cm berharap kotak kemasan dr azarine bs lebih baik lg saya bs krm video unboxing
183,tiap belanja pasti salah klo ga kurang barangnya ya salah barangnya ikhlasin aja semoga berkah kalo produknya cocok pelayanan nya aja kurang atau butuh karyawan
184,pelayanannya jelek bgt
185,kalau barang tdk ada toko wajib konfirmasi ke customer melalui nomer kah chat toped kah bukan seenaknya kasih secarik kertas minta klaim refund barang yg kosong takut harus kasih vouchsr ribu ya buat apa ada pengaturan stok kalau gitu sayangnya tokopedia seperti tutup mata akan praktek seperti ini
186,kualitas semprotan jelek
187,barang nya dtg kaya gini donk packing nya
188,salah kirim barang hadehh
189,okee
190,pesan hydrasooth dikirim yang hydramax  mana baru sempet unboxing pas udah selesai otomatis lagii duhh
191,prosesnya luamaaa bangett 
192,barang gak ada bukanny lngsng drefund dlm box dksh kertas tulisanny mohon minta pengembalian dana untuk brg yg tdk ada sdngkn dluar box dtulis hrs video unboxing untung saya video unboxing kalo gak bs gak kembali tuh dananya
193,barang gak ada terus minta pengembalian dana blgny amu gak dkirim kekuranganny ud djawab mau malah blg ny brgny gak ada refund manual aj mau gak yah aneh lah  refund  lewat toped kenapa jg hrs manual
194,barang ga dikirim uang dikembalikan setelah complain
195,lupa ngevideoin pas buka paket kirain bakal aman ternyata dikasih yg segelnya udah kebuka dan kayanya udah dipake kaya sisa setengah padahal official azzarinenya parah kapokk
196,barang ga dikirim tp ga ngasih tau ke pembeli udah gtu slow respon banget chat adminnya payah banget pelayanannya ini official store loh
197,penjual tidak teliti hair serum tidak diterima pembeli beli items sunscreen eye serum hair serum tapi yang datang hanya hair serum tidak ada
198,penjual tidak teliti ada barang yang tidak terkirim
199,penjual tidak teliti beli items yang dikirim hanya
200,pengemasan sangat lama pengiriman jga sangat lama
201,produk bocor di bagian lapisan alumunium foil padahal sengaja beli buat stok pas cek baunya juga kurang baik
202,pesen pcs skincare yg dteng cm udh dikomplain tiba komplainan selesai tanpa solusi ataupun jawaban
203,isinya bocor tolong lebih teliti dlm pengemasan biar coustemer gg rugi
204,mohon maaf tapi saya agak ragu dengan keaslian produkx krn tdk ada hologramx wanginya juga beda
205,mau ganti alamat udh disetujui tokped namn toko tdk menyetujui makasih banget sama kurir jne mau bantu anterin
206,pesen yang retinol dan vit  yang datang malah suncreen dan retinol payah
207,gak cocok
208,baru buka paket sabtu toko libur barang pesan eyeshadow di kasih nya brownzer mw pengajuan komplain apps tidak bisa dan pula terlanjur barang saya buka hiks transaksi pertama saya dan maaf cukup kecewa
