,Review
366,tiba dgn aman dan cpt serum thick terasa padat tapi cepat menyerap tidak berminysk ada sedikit wangi tipis fruity pelembab ringan cpt menyerap fragrance free sepertinya ok untuk oily skin
367,tipe kulitku berminyak tipe kulitku kering
368,bener gak perih dimata
369,bagus makasih ya
370,tipe kulitku berminyak tipe kulitku kering tipe kulitku sensitif
371,baru mau coba semoga cocok tipe kulitku kombinasi masalah kulitku jerawat
372,tipe kulitku kering
373,packaging super aman tapi sayang ga dapat bonusnya mungkin lupa sellernya
374,barang sudah sampai cocok untuk kulitku yg berminyak
375,barusan coba swatch untuk lihat shades nya dan warna coklatnya bagus deh cukup terang dan pigmented walaupun sepertinya kurang waterproof krn td cukup mudah dihapus thank you somethinc tokopedia dan babang gtl
376,paket telah diterima dengan baik packaging baik produk ok
377,kualitas manyap bro tekstur mantaps
378,okeee
379,terima kasih sdh diterima dgn baik dan cocok
380,cocok untuk kulit ku
381,tipe kulitku berminyak dan loose powder ini bantu nahan minyak banget
382,mantap
383,tipe kulitku berminyak tipe kulitku sensitif tipe kulitku kombinasi masalah kulitku pori besar cuma perasaanku ajj atau emg skrg formulanya jd cair bget ya perasaan punyaku yg botol sblomnya merah bget dan agak kentel tp yg ini aku beli skrg koq jd cair bget ditetesin  muka jg lgsg ngalir jatuh  bwh  dan warnanya jg gk merah bget mlah agak pink gitu
384,honestly baunya agak kurang suka tapi kayanya cocok aja deh dimuka terima kasih
385,suka banget ama cushionnya sampe beli refillnya terus
386,bagus banget mukaku berminyak dengan harga segini cukup nahan minyakku aku pake acara wisuda seharian lanjut acara gereja sampe malem ga se matte itu tapi ga kinclong kek kilang minyak  recommended niatnya beli yang besar aja  ternyata ada diskon kalo nambah jadi tambah yang kecil  lumayan masuk tas
387,always repurchase
388,beli krna ada voucher bagus bgt cepet pengirimannya dapet eyelash curler gratiss
389,baguss bangettt makasih kak
390,pengirimann cepattt makasih kak
391,beli botol kedua botolnya rusak yg pump nya keras susah saat diteken yg lagi bisa diteken tapi gak mau kluar foamnya akhirnya tuang cairan sabun ke tangan ribet
392,tipe kulitku berminyak tipe kulitku sensitif tipe kulitku kombinasi masalah kulitku jerawat
393,mantap
394,baru mau nyobain loose powder somethinc karena dapat rekomendasi dari cici saya semoga cocok ya
395,packing super aman biarpun bli yg seri imutnya siap brangkat traveling tetep bs skin care an tnp bw yg gede
396,tipe kulitku berminyak sebulan pemakaian dah ada perubahan jujur ini beli kedua kalinya
397,tipe kulitku kombinasi semoga cocok yg sdh pernah dipakai dan masih dipakai oil serum bakuchiol hasilnya ok
398,pengiriman cepat dan packing aman beli karena rekomendasi teman semoga cocok juga
399,makasiiii dapat gift
400,masa expired di bulan agustus cepat sekali
401,tipe kulitku kering tipe kulitku normal
402,tipe kulitku kombinasi tipe kulitku sensitif masalah kulitku jerawat
403,pelembab kasih sensai nyaman di wajah dan buat efek glowing juga
404,serumnya bagus di mukaku engga lengket dan bikin muka makin glowing
405,lipstik faforit baru baru beli pertama kali dan langsung jatuh cinta
406,spatulanya ngebantu banget buat aplikasi pelembab dan cantik banget
407,sunscreen enak dipakai enggak lengket ringan cepat kering
408,aaa bagus bgtt warnanyaa tahan lamaa sukakkk
409,thanks
410,cocok pakai produk ini tp pas order malah direfund produknya ga sampe ga tau kemana
411,
412,thanks
413,tipe kulitku kombinasi
414,tipe kulitku kombinasi
415,aaaaaaaa bagus warnanya pertama beli yg grandmaster mumpung promo
416,bahannya ringan dan mudah meresap di kuliat aku yang kombinasi cenderung kering ini
417,serum andalan ku selalu ga pernah mengecewakan as always
418,tipe kulitku berminyak
419,ekspedisi rekomendasi dari tokped sangat lama dan slowresp status tidak update
420,well received thanks
