,Review,Review_norm
110,pesan yang serum vitamin  malah dikirim retinol jadi sedikit kecewa,pesan yang serum vitamin  malah dikirim retinol jadi sedikit kecewa
111,sukaa baru sekali pake sihh blum bgitu kliatan hasilnya tpi semoga cocok,suka baru sekali pakai sih belum begitu kelihatan hasilnya tapi semoga cocok
112,barang tidak sesuai gabisa klaim garansi karna memang ga menyiapkan video unboxing baru ini pesanan saya salah dan baru kali ini ngasih bintang karna kecewa tolong lain kali lebih teliti,barang tidak sesuai enggak bisa klaim garansi karena memang enggak menyiapkan video unboxing baru ini pesanan saya salah dan baru kali ini mengasih bintang karena kecewa tolong lain kali lebih teliti
113,mantap barangnya bagus selalu pakai moisturizer ini murah sering dpt diskon packing aman pengiriman cepat thankyouu seller,mantap barangnya bagus selalu pakai moisturizer ini murah sering dapat diskon packing aman pengiriman cepat thankyouu seller
114,tipe kulitku berminyak tipe kulitku kering masalah kulitku jerawat,tipe kulitku berminyak tipe kulitku kering masalah kulitku jerawat
115,bagus bangeeettt warnanya oke stainnya mantul gak bikin bibir kering recommend pokonya luuuvv,bagus banget warnanya oke stainnya mantul enggak bikin bibir kering recommend pokoknya love
116,favorit sunscreen,favorit sunscreen
117,tipe kulitku berminyak tipe kulitku kering tipe kulitku normal masalah kulitku jerawat,tipe kulitku berminyak tipe kulitku kering tipe kulitku normal masalah kulitku jerawat
118,tipe kulitku kering tipe kulitku berminyak tipe kulitku normal masalah kulitku kerutan masalah kulitku jerawat,tipe kulitku kering tipe kulitku berminyak tipe kulitku normal masalah kulitku kerutan masalah kulitku jerawat
119,oil waternya nyaman dipakai bs menghapus waterproof make up tanpa oily bgt micellar waternya nyaman ga bikin kering,oil waternya nyaman dipakai bisa menghapus waterproof memakai up tanpa oily banget micellar waternya nyaman enggak bikin kering
120,terima kasih harga murah barang sampai dengan selamat bubble wrap tebel dan pengiriman cepat,terima kasih harga murah barang sampai dengan selamat bubble wrap tebal dan pengiriman cepat
121,tipe kulitku berminyak tipe kulitku normal tipe kulitku kombinasi masalah kulitku jerawat masalah kulitku kerutan masalah kulitku pori besar tipe kulitku sensitif tipe kulitku kering,tipe kulitku berminyak tipe kulitku normal tipe kulitku kombinasi masalah kulitku jerawat masalah kulitku kerutan masalah kulitku pori besar tipe kulitku sensitif tipe kulitku kering
122,tipe kulitku kombinasi cocok banget pake sunscreennya azarine teksturnya ringan ga bikin kulit kusam no whitecast gampang diblend udah repurchase yg ke kali alhamdulillah pembelian kmrn dapet diskom cashback pengiriman cepat respon seller baik saat diterima barang dalam kondisi baik terima kasih,tipe kulitku kombinasi cocok banget pakai sunscreennya azarine teksturnya ringan enggak bikin kulit kusam no whitecast gampang diblend sudah repurchase yang ke kali alhamdulillah pembelian kemarin dapat diskom cashback pengiriman cepat respon seller baik saat diterima barang dalam kondisi baik terima kasih
123,belum coba semoga cocok,belum coba semoga cocok
124,packaging pas ngirim barangnya oke yang serumnya juga dipakein bubble wrap jadi ga perlu khawatir si botol serumnya pecah oh iya berhubung udah beberapa minggu pake si serumnya udah mulai sedikit ada hasil saya ada masalah hyperpigmentation di area bibir udah mulai memudar cuman mungkin kudu rutin sama kayanya butuh beberapa bulan untuk betul betul get rid of hyperpigmentationnya mungkin musti follow salah satu sosmednya azarine syukur syukur di website azarinenya kaya ada menu news kaya bahas apa yang lagi dikerjain sama tim rndnya azarine ini mungkinn bakal lebih menarik perhatian calon customer ataupun loyal customernya azarine produk ini ga da masalah juga di kulit saya selama pemakaian serum sama si sunscreennya ya working well jadi ya untuk beberapa waktu ke depan mungkin bakal pake produk dari azarine ini buat calon customer yang lain best for research before what your type skin and problem with your skin makasih azarine,packaging pas mengirim barangnya oke yang serumnya juga dipakein bubble wrap jadi enggak perlu khawatir sih botol serumnya pecah oh iya berhubung sudah beberapa minggu pakai sih serumnya sudah mulai sedikit ada hasil saya ada masalah hyperpigmentation di area bibir sudah mulai memudar cuman mungkin kudu rutin sama kayanya butuh beberapa bulan untuk betul betul get rid of hyperpigmentationnya mungkin musti follow salah satu sosmednya azarine syukur syukur di website azarinenya kayak ada menu news kayak bahas apa yang lagi dikerjain sama tim rndnya azarine ini mungkinn bakal lebih menarik perhatian calon customer ataupun loyal customernya azarine produk ini enggak dah masalah juga di kulit saya selama pemakaian serum sama sih sunscreennya ya working well jadi ya untuk beberapa waktu ke depan mungkin bakal pakai produk dari azarine ini buat calon customer yang lain best for research before what your type skin and problem with your skin terima kasih azarine
125,tipe kulitku kering jadi lembab pakai ini,tipe kulitku kering jadi lembab pakai ini
126,mantep banget jerawat aku langsung pada kering,mantap banget jerawat aku langsung pada kering
127,sudah sampai dengan selamat terima kasih bajyak,sudah sampai dengan selamat terima kasih bajyak
128,tipe kulitku normal tipe kulitku kering tipe kulitku berminyak,tipe kulitku normal tipe kulitku kering tipe kulitku berminyak
129,as usual bagus bgt udh repurchase kesekian kali memplump kan bibir melembabkan dan bikin warna jd cerah kalo dicombine sama pure paw paw,as usual bagus banget sudah repurchase kesekian kali memplump kan bibir melembabkan dan bikin warna jadi cerah kalo dicombine sama pure paw paw
130,bagus memuaskan,bagus memuaskan
131,masalah kulitku jerawat masalah kulitku pori besar tipe kulitku kombinasi tipe kulitku sensitif,masalah kulitku jerawat masalah kulitku pori besar tipe kulitku kombinasi tipe kulitku sensitif
132,mantul,mantul
133,pesanan sesuai,pesanan sesuai
134,no review found,no review found
135,mkasih pesanan sudah sesuai pesanan saya pengiriman cepat matappppp,terima kasih pesanan sudah sesuai pesanan saya pengiriman cepat mantap
136,masalah kulitku jerawat masalah kulitku pori besar,masalah kulitku jerawat masalah kulitku pori besar
137,sesuai pesanan pengiriman cepat dan pengemasan bagus sekalii mantappp,sesuai pesanan pengiriman cepat dan pengemasan bagus sekali mantap
138,tefima kasih pesenanya uxah sampai sudah cocok pakai skincare dari merk azarine kualitas baguss harga juga terjangkou,terima kasih pesenanya udah sampai sudah cocok pakai skincare dari merk azarine kualitas bagus harga juga terjangkau
139,terima kasih pesenan nya udah sampai udah cocok pakai skincare dari merk azarine ringan  pakai nya bikin kulit tambah cerah dan lembut,terima kasih pesanan nya sudah sampai sudah cocok pakai skincare dari merk azarine ringan  pakai nya bikin kulit tambah cerah dan lembut
140,exp masih lama,exp masih lama
141,ini serum yang sangat saya suka dari azarine teksturnya cair namun agak kental sedikit dan sangat mudah diaplikasikan ke wajah dan salah satu serum yang bagus digunakan jika lagi bruntusan atau menggunakan make up tebal sekalipun karena tetap melembabkan kulit saya,ini serum yang sangat saya suka dari azarine teksturnya cair namun agak kental sedikit dan sangat mudah diaplikasikan ke wajah dan salah satu serum yang bagus digunakan jika lagi bruntusan atau menggunakan memakai up tebal sekalipun karena tetap melembabkan kulit saya
142,ini bener bener produk azarine yg luar biasa dan tidak pernah membuat saya kecewa teksturnya seperti jel namun jika kita aplikasikan ke wajah berubah menjadi bisa dan setelah dibilas dengan air wajah saya yg sama sekali tidak dibersihkan dengan micelar water terasa bersih,ini benar benar produk azarine yang luar biasa dan tidak pernah membuat saya kecewa teksturnya seperti jel namun jika kita aplikasikan ke wajah berubah menjadi bisa dan setelah dibilas dengan air wajah saya yang sama sekali tidak dibersihkan dengan micelar water terasa bersih
143,teksturnya seperti jel namun tidak lengket dan lumayan cepat meresap di tipe kulitku kombinasi,teksturnya seperti jel namun tidak lengket dan lumayan cepat meresap di tipe kulitku kombinasi
144,ketiganya luar biasa menghidrasi kulit jika digabungkan dan tidak membuat wajah saya gatal,ketiganya luar biasa menghidrasi kulit jika digabungkan dan tidak membuat wajah saya gatal
145,sukaa sama sunscreen ini krna dikasi tau temen udh pembelian kedua sih inii,suka sama sunscreen ini karena dikasih tau teman sudah pembelian kedua sih ini
146,bau nya enakk gak nyengat bgt make nya kulit harus bner bner kering jkalo kena air jadinya agak licin trus lengket tpi gkpapa sih gk bgitu kerasa overall sukaa dan semoga cocok,bau nya enakk enggak nyengat banget memakai nya kulit harus benar benar kering kalau kena air jadinya agak licin terus lengket tapi gapapa sih enggak begitu kerasa overall suka dan semoga cocok
147,done,done
