,Review
236,barang sampai dengan aman cuma di aku agak ke abuan dikit tp masih bisa ditoleransi thx ya
237,ga cocok di wajahku jadi bruntusan jerawat bermunculan
238,di wajahku bikin timbul bruntusan
239,packing rapih smoga cocok kurir bl  list
240,praktis cocok untuk satu keluarga nyaman buat yg muda dan yg tua
241,ini pembelian ketiga klo ga salah overall utk kasiatnya lmyn ok not impressive but ok menghidrasi undereye dgn baik yg disayangkan kualitas kemasan kurang bagus saya ga merasa simpan sembarangan tp bagian tutupan pecah dgn sendirinya pertama kali beli kirain saya yg ceroboh mgkn sempet ngejatohin tp setelah setiap pembelian selalu pecah retak kayaknya memang kualitas plastiknya yg kurang bagus semoga bisa diperbaiki menjadi lbh kuat
242,pengiriman nya cepet bgt baru mau cobaaa tp somethic ga meragukan si
243,meskipun mesennya telat waktu hari libur tapi seller gercep ngirimnya
244,barang bagus sesuai ekspektasi
245,barang sudah sampai bagus sesuai ekspektasi
246,wangi mint awet
247,barang nya ok tp kenapa pengiriman nya lama banget makasih ya
248,bikin kulit jadi moist seharian aku pakai setelah pakai make up ok bgt ini
249,barang sampai dg bagus
250,udah tahun ini pake somethinc so far suka sih sama copy paste
251,udah repeat order sih ini so far ok ok aja bagus
252,sebelum check out tentukan warna dengan filter ig official account pastikan pencahayaan baik lightweight ringan di wajah oksidasi minim nyatu dengan warna kulit light coverage dipakai wudhu luntur tapi menurut saya wajar karena sunscreen biasanya juga butuh reapply
253,tipe kulitku sensitif tipe kulitku berminyak
254,niacinemade membantu mencerahkan kulit biar gk kusam tipe kulitku normal
255,barang diterima dalam kondisi baik produk tersegel belum dicoba
256,belum dicoba semoga cocok
257,belum dicoba untuk tipe kulit berminyak
258,tipe kulitku berminyak masalah kulitku jerawat masalah kulitku pori besar tipe kulitku sensitif
259,packaging aman bgt pakai kardus
260,cocok packaging aman bgt pakai kardus
261,sip coba warna hayg savage cocok buat kulit medium buat sehari makasih ya
262,tipe kulitku sensitif kalau pake ini gak bikin iritasi aman banget
263,isi serum nya gak fulll sedikit banget
264,pengiriman lumayan packing rapih dan aman produk mantap jerawat punggung langsung kering
265,bagus banget warnanya keluar pas dipake cocok bgt buat kulit kyk aku
266,packing aman barang ok jerawat di punggung hilang sensasi dingin nya juga enak bgt
267,agak kecewa kenapa exp di produk terhapus dimana brand ini termasuk besar gk mungkin ada kesalah seperti ini gak suudzon sih exp di produk dengan di kemasan berbeda untuk keaslian produk saya percaya namun dapat dipastikan apakah produk expired atau belum apakah dapat dipastikan mohon untuk lebih diperhatikan dan teliti kedepannya
268,bagus toner nya
269,pengemasan oke pengiriman cepat belum dicoba tp semoga cocok
270,masalah kulitku jerawat tipe kulitku sensitif masalah kulitku pori besar
271,akhirnya nyobain juga yg lagi viral fiks emang sebagus itu sih shade nina cocok di kulit ku yang light medium checkmatte joker juga bagus banget asli ringan tahan lama juga
272,waah dapat potongan harga bonus penjepit mata juga alhamdulillah terimakasih
273,cocok untuk kulit saya
274,sesuai pesanan cocok di kulit saya
275,sesuai pesanan jerawat di punggung sudah berkurang
276,andalan kalau keluar siang siang
277,produk sesuai deskripsi teksturnya haluus efektif menahan minyak di muka menutup pori awal dipakai memang kelihatan kurang blend agak dempul tp bbrp saat kemudian bisa ngeblend dengan baik sekali sampai sore pengiriman diproses cepat menurut sy sedikit kekurangan di packaging lubang bedaknya terlalu besar dibanding sponsnya sehingga kl ambil bedaknya dgn cara dibalik agak berceceran di sekelilingnya overall bagus dan akan repurchase
278,blm coba semoga cocok
279,semoga cocok  makasih bonusnya
280,keren bangett warna liptintnya kurang cocok di aku 
281,ampuh suka deh
282,emang bikij calming bangettt apalagi kulitku super kering akhir iniii
283,tiba dgn aman dan cpt serum thick terasa padat tapi cepat menyerap tidak berminysk ada sedikit wangi tipis fruity pelembab ringan cpt menyerap fragrance free sepertinya ok untuk oily skin
284,tipe kulitku berminyak tipe kulitku kering
285,bener gak perih dimata
286,bagus makasih ya
287,tipe kulitku berminyak tipe kulitku kering tipe kulitku sensitif
288,baru mau coba semoga cocok tipe kulitku kombinasi masalah kulitku jerawat
289,packaging super aman tapi sayang ga dapat bonusnya mungkin lupa sellernya
290,barang sudah sampai cocok untuk kulitku yg berminyak
291,barusan coba swatch untuk lihat shades nya dan warna coklatnya bagus deh cukup terang dan pigmented walaupun sepertinya kurang waterproof krn td cukup mudah dihapus thank you somethinc tokopedia dan babang gtl
292,paket telah diterima dengan baik packaging baik produk ok
293,kualitas manyap bro tekstur mantaps
294,okeee
295,terima kasih sdh diterima dgn baik dan cocok
296,cocok untuk kulit ku
297,tipe kulitku berminyak dan loose powder ini bantu nahan minyak banget
298,mantap
299,tipe kulitku berminyak tipe kulitku sensitif tipe kulitku kombinasi masalah kulitku pori besar cuma perasaanku ajj atau emg skrg formulanya jd cair bget ya perasaan punyaku yg botol sblomnya merah bget dan agak kentel tp yg ini aku beli skrg koq jd cair bget ditetesin  muka jg lgsg ngalir jatuh  bwh  dan warnanya jg gk merah bget mlah agak pink gitu
300,honestly baunya agak kurang suka tapi kayanya cocok aja deh dimuka terima kasih
301,suka banget ama cushionnya sampe beli refillnya terus
302,bagus banget mukaku berminyak dengan harga segini cukup nahan minyakku aku pake acara wisuda seharian lanjut acara gereja sampe malem ga se matte itu tapi ga kinclong kek kilang minyak  recommended niatnya beli yang besar aja  ternyata ada diskon kalo nambah jadi tambah yang kecil  lumayan masuk tas
