,Review,Review_norm,review_tokens
386,hallo seller ini pertama kalimya beli skin game acne warrior ini salah satu woshlist ku sampe nabung nyisihin uang  pas ke checkout pengirimannya lama banget estimasi tima tanggal aku co tanggal baru sampe tanggal padahal cuma dr jakarta ke jogja aja terus pengirimannya pas aku cek malah lwt makassar aneh bgt karna uda sering beli barang di jakarta paling lama hari sampe agak khawatir sbnrnya sama stabilitas obat dan sediaan produknya tapi packaging aman si semoga gapapa ya dan ngasi efek walau teksturnya agak lengket dan warnanya ga bening ternyata berharap banget sama produk ini makasih,halo seller ini pertama kalimya beli skin game acne warrior ini salah satu woshlist ku sampai nabung nyisihin uang  pas ke checkout pengirimannya lama banget estimasi tima tanggal aku checkout tanggal baru sampai tanggal padahal cuma dari jakarta ke jogja saja terus pengirimannya pas aku cek malah lewat makassar aneh banget karena sudah sering beli barang di jakarta paling lama hari sampai agak khawatir sebenarnya sama stabilitas obat dan sediaan produknya tapi packaging aman sih semoga gapapa ya dan mengasih efek walau teksturnya agak lengket dan warnanya enggak bening ternyata berharap banget sama produk ini terima kasih,"['halo', 'seller', 'ini', 'pertama', 'kalimya', 'beli', 'skin', 'game', 'acne', 'warrior', 'ini', 'salah', 'satu', 'woshlist', 'ku', 'sampai', 'nabung', 'nyisihin', 'uang', 'pas', 'ke', 'checkout', 'pengirimannya', 'lama', 'banget', 'estimasi', 'tima', 'tanggal', 'aku', 'checkout', 'tanggal', 'baru', 'sampai', 'tanggal', 'padahal', 'cuma', 'dari', 'jakarta', 'ke', 'jogja', 'saja', 'terus', 'pengirimannya', 'pas', 'aku', 'cek', 'malah', 'lewat', 'makassar', 'aneh', 'banget', 'karena', 'sudah', 'sering', 'beli', 'barang', 'di', 'jakarta', 'paling', 'lama', 'hari', 'sampai', 'agak', 'khawatir', 'sebenarnya', 'sama', 'stabilitas', 'obat', 'dan', 'sediaan', 'produknya', 'tapi', 'packaging', 'aman', 'sih', 'semoga', 'gapapa', 'ya', 'dan', 'mengasih', 'efek', 'walau', 'teksturnya', 'agak', 'lengket', 'dan', 'warnanya', 'enggak', 'bening', 'ternyata', 'berharap', 'banget', 'sama', 'produk', 'ini', 'terima', 'kasih']"
387,semogaa cocokk makasi juga freebiesnyaaa,semoga cocok terima kasih juga freebiesnya,"['semoga', 'cocok', 'terima', 'kasih', 'juga', 'freebiesnya']"
388,bagus bgt ga narik kulit tp moist minyak bersih,bagus banget enggak menarik kulit tapi moist minyak bersih,"['bagus', 'banget', 'enggak', 'menarik', 'kulit', 'tapi', 'moist', 'minyak', 'bersih']"
389,diluar ekspektasi si tnyt mate tone up ga greasy ga minyakan pas bgt pake ini ga usa pk porefessional lg uda bagus,diluar ekspektasi sih ternyata mate tone up enggak greasy enggak minyakan pas banget pakai ini enggak usah pakai porefessional lagi sudah bagus,"['diluar', 'ekspektasi', 'sih', 'ternyata', 'mate', 'tone', 'up', 'enggak', 'greasy', 'enggak', 'minyakan', 'pas', 'banget', 'pakai', 'ini', 'enggak', 'usah', 'pakai', 'porefessional', 'lagi', 'sudah', 'bagus']"
390,barang diterima dalam kondisi baik dan dapat dipergunakan dengan baik cocok untuk kulit tidak gatal dan panas,barang diterima dalam kondisi baik dan dapat dipergunakan dengan baik cocok untuk kulit tidak gatal dan panas,"['barang', 'diterima', 'dalam', 'kondisi', 'baik', 'dan', 'dapat', 'dipergunakan', 'dengan', 'baik', 'cocok', 'untuk', 'kulit', 'tidak', 'gatal', 'dan', 'panas']"
391,baru coba sekali semoga cocok makasiih dapet bonusan jugaa,baru coba sekali semoga cocok terima kasih dapat bonusan juga,"['baru', 'coba', 'sekali', 'semoga', 'cocok', 'terima', 'kasih', 'dapat', 'bonusan', 'juga']"
392,sdh langganan tiap habis sll beli disini kali ini dpt free gift thank you so much,sudah langganan tiap habis selalu beli disini kali ini dapat free gift thank you so much,"['sudah', 'langganan', 'tiap', 'habis', 'selalu', 'beli', 'disini', 'kali', 'ini', 'dapat', 'free', 'gift', 'thank', 'you', 'so', 'much']"
393,setelah cocok sama moisturizer skrg coba facial wash udahlah beli diskon dapet hair mask pula mantuliti,setelah cocok sama moisturizer sekarang coba facial wash sudahlah beli diskon dapat hair mask pula mantap,"['setelah', 'cocok', 'sama', 'moisturizer', 'sekarang', 'coba', 'facial', 'wash', 'sudahlah', 'beli', 'diskon', 'dapat', 'hair', 'mask', 'pula', 'mantap']"
394,ada bonusnya thannks,ada bonusnya thanks,"['ada', 'bonusnya', 'thanks']"
395,calming bruntusan cuma dalam minggu  keren cuma packaging serumnya sedikit nyebelin karena bentuknya pump gituu,calming bruntusan cuma dalam minggu  keren cuma packaging serumnya sedikit menyebalkan karena bentuknya pump begitu,"['calming', 'bruntusan', 'cuma', 'dalam', 'minggu', 'keren', 'cuma', 'packaging', 'serumnya', 'sedikit', 'menyebalkan', 'karena', 'bentuknya', 'pump', 'begitu']"
396,dapet bonus,dapat bonus,"['dapat', 'bonus']"
397,mksh layanan cepat  dpt bonus lg sip,terima kasih layanan cepat  dapat bonus lagi sip,"['terima', 'kasih', 'layanan', 'cepat', 'dapat', 'bonus', 'lagi', 'sip']"
398,serumnya cocok untuk saya sudah pembelian ke lumayan bikin cerah wajah dan menyamarkan bekas jerawat dapat bonus hair mask untuk saat ini thanks,serumnya cocok untuk saya sudah pembelian ke lumayan bikin cerah wajah dan menyamarkan bekas jerawat dapat bonus hair mask untuk saat ini thanks,"['serumnya', 'cocok', 'untuk', 'saya', 'sudah', 'pembelian', 'ke', 'lumayan', 'bikin', 'cerah', 'wajah', 'dan', 'menyamarkan', 'bekas', 'jerawat', 'dapat', 'bonus', 'hair', 'mask', 'untuk', 'saat', 'ini', 'thanks']"
399,pengiriman cepat harga murah dan dapat bonus hair mask,pengiriman cepat harga murah dan dapat bonus hair mask,"['pengiriman', 'cepat', 'harga', 'murah', 'dan', 'dapat', 'bonus', 'hair', 'mask']"
400,baru mau nyoba sih padahal penasaran udah lama  malah dapet bonus hairmask,baru mau mencoba sih padahal penasaran sudah lama  malah dapat bonus hairmask,"['baru', 'mau', 'mencoba', 'sih', 'padahal', 'penasaran', 'sudah', 'lama', 'malah', 'dapat', 'bonus', 'hairmask']"
402,respon seller cepat pengiriman cepat packing aman,respon seller cepat pengiriman cepat packing aman,"['respon', 'seller', 'cepat', 'pengiriman', 'cepat', 'packing', 'aman']"
403,nyampenya cepet bgt dan dapet bonus thank you skingame semoga your product especially this kind moisturizer is as kind as your name in my face,sampainya cepat banget dan dapat bonus thank you skingame semoga your product especially this kind moisturizer is as kind as your name ini my face,"['sampainya', 'cepat', 'banget', 'dan', 'dapat', 'bonus', 'thank', 'you', 'skingame', 'semoga', 'your', 'product', 'especially', 'this', 'kind', 'moisturizer', 'is', 'as', 'kind', 'as', 'your', 'name', 'ini', 'my', 'face']"
404,bagus buat dipake ditempat kerja,bagus buat dipakai ditempat kerja,"['bagus', 'buat', 'dipakai', 'ditempat', 'kerja']"
405,udah lama pengen coba skingame tp maju mundur semoga cocok ya kita,sudah lama pengin coba skingame tapi maju mundur semoga cocok ya kita,"['sudah', 'lama', 'pengin', 'coba', 'skingame', 'tapi', 'maju', 'mundur', 'semoga', 'cocok', 'ya', 'kita']"
406,teksturnya cepet nyerap banget dikulit dan yang menyenangkan ternyata bantu menenangkan kulitku yang entah kenapa tiba kering dan iritasi thanks skingame,teksturnya cepat nyerap banget dikulit dan yang menyenangkan ternyata bantu menenangkan kulitku yang entah kenapa tiba kering dan iritasi thanks skingame,"['teksturnya', 'cepat', 'nyerap', 'banget', 'dikulit', 'dan', 'yang', 'menyenangkan', 'ternyata', 'bantu', 'menenangkan', 'kulitku', 'yang', 'entah', 'kenapa', 'tiba', 'kering', 'dan', 'iritasi', 'thanks', 'skingame']"
407,kemasan bagus packing aman barang masih tersegel dan diterima dalam keadaan aman trims utk bonusnya,kemasan bagus packing aman barang masih tersegel dan diterima dalam keadaan aman terima kasih untuk bonusnya,"['kemasan', 'bagus', 'packing', 'aman', 'barang', 'masih', 'tersegel', 'dan', 'diterima', 'dalam', 'keadaan', 'aman', 'terima', 'kasih', 'untuk', 'bonusnya']"
408,formulasinya enak banget buat oily skin tetep lembab tp nggak berat affordable jg dgn harga segitu dan ml,formulasinya enak banget buat oily skin tetap lembab tapi enggak berat affordable juga dengan harga segitu dan ml,"['formulasinya', 'enak', 'banget', 'buat', 'oily', 'skin', 'tetap', 'lembab', 'tapi', 'enggak', 'berat', 'affordable', 'juga', 'dengan', 'harga', 'segitu', 'dan', 'ml']"
409,dikasi free gift jg keren,dikasih free gift juga keren,"['dikasih', 'free', 'gift', 'juga', 'keren']"
410,texturenya cair tapi sangat hydrating berasa cuci muka tapi hydrating tidak seperti merk lain yang hydrating tp berasa muka masih aja minyakan akan repurchase karena harganya yang oke dan cocok dengan kulit botolnya juga lucu pakai almunium,texturenya cair tapi sangat hydrating berasa cuci muka tapi hydrating tidak seperti merk lain yang hydrating tapi berasa muka masih saja minyakan akan repurchase karena harganya yang oke dan cocok dengan kulit botolnya juga lucu pakai almunium,"['texturenya', 'cair', 'tapi', 'sangat', 'hydrating', 'berasa', 'cuci', 'muka', 'tapi', 'hydrating', 'tidak', 'seperti', 'merk', 'lain', 'yang', 'hydrating', 'tapi', 'berasa', 'muka', 'masih', 'saja', 'minyakan', 'akan', 'repurchase', 'karena', 'harganya', 'yang', 'oke', 'dan', 'cocok', 'dengan', 'kulit', 'botolnya', 'juga', 'lucu', 'pakai', 'almunium']"
411,baru mau cobaaa semoga cocokk  dapet bonus hair spa mask thank you,baru mau coba semoga cocok  dapat bonus hair spa mask thank you,"['baru', 'mau', 'coba', 'semoga', 'cocok', 'dapat', 'bonus', 'hair', 'spa', 'mask', 'thank', 'you']"
412,semoga aku juga cocok yaa sm produknya,semoga aku juga cocok ya sama produknya,"['semoga', 'aku', 'juga', 'cocok', 'ya', 'sama', 'produknya']"
413,baru coba pertama kali semoga cocok,baru coba pertama kali semoga cocok,"['baru', 'coba', 'pertama', 'kali', 'semoga', 'cocok']"
414,mantull udh botol keduaa selain melembabkan di kulitku juga bisa bikin bruntusan agak hilang pokoknya worth it untuk dibeli sering adain diskon yh min whehe,mantap sudah botol kedua selain melembabkan di kulitku juga bisa bikin bruntusan agak hilang pokoknya worth itu untuk dibeli sering mengadakan diskon ya min whehe,"['mantap', 'sudah', 'botol', 'kedua', 'selain', 'melembabkan', 'di', 'kulitku', 'juga', 'bisa', 'bikin', 'bruntusan', 'agak', 'hilang', 'pokoknya', 'worth', 'itu', 'untuk', 'dibeli', 'sering', 'mengadakan', 'diskon', 'ya', 'min', 'whehe']"
